ObjectID,State,County/Parish,Year,Overall_SPB_PerDay,Overall_Clerids_PerDay,x,y
859,Florida,Clay,2020,4.4,0.5,-81.94545471,29.99446293
860,Florida,Duval,2020,0,0,-81.84940079,30.40700575
861,Texas,Sabine,2020,0,1.8,-93.839,31.41132
862,Texas,Sabine,2020,0,0.2,-93.86906,31.30588
863,Texas,SanAugustine,2020,0,0.2,-94.00635,31.52398
864,Texas,SanAugustine,2020,0,0.8,-94.09166,31.44314
865,Texas,Shelby,2020,0,0.6,-93.95124,31.80667
866,Texas,Shelby,2020,0,0,-94.04914,31.64919
867,Texas,Tyler,2020,0,0.2,-94.4463,30.92433
868,Texas,Tyler,2020,0,1.3,-94.40121,30.57625
869,Texas,Tyler,2020,0,2,-94.14056,30.72013
870,Texas,Hardin,2020,0,0.5,-94.34549,30.41321
871,Texas,Hardin,2020,0,0.4,-94.53258,30.28359
872,Texas,Hardin,2020,0,0.2,-94.15952,30.47876
873,Arkansas,Columbia,2020,0,0.5,-93.09430014,33.2487616
874,Florida,Jackson,2020,0,0.2,-85.56594984,30.89154433
877,Georgia,Walker,2020,1,0.2,-85.3157461,34.72237564
878,Georgia,Walker,2020,1.3,0.2,-85.33533599,34.75202372
879,Florida,Jefferson,2020,0,0,-83.7424664,30.51079028
880,Florida,Leon,2020,0,0.3,-84.13282879,30.51979551
882,Florida,Alachua,2020,0,0,-82.49293,29.81862
883,Florida,Alachua,2020,0.2,0.6,-82.26076,29.67247
884,Florida,Alachua,2020,0,0,-82.29743,29.4898
886,Alabama,Lowndes,2020,1.9,2.1,-86.62878,32.01676
887,Alabama,Lowndes,2020,7.3,6.5,-86.71832,32.07352
888,Alabama,Lowndes,2020,0,1,-86.71288,32.30121
889,Alabama,Monroe,2020,2.8,0.9,-87.46872,31.72391
890,Alabama,Monroe,2020,7,4.2,-87.30601,31.63038
891,Alabama,Monroe,2020,0.2,0.9,-87.49203,31.26121
892,Alabama,Barbour,2020,4.3,7.4,-85.42169,32.00496
893,Alabama,Barbour,2020,26.5,7.9,-85.44973,31.94576
894,Alabama,Barbour,2020,1.3,0.9,-85.09047,32.00407
895,Alabama,Tallapoosa,2020,13.9,11.2,-85.74055,32.97123
896,Alabama,Tallapoosa,2020,4.4,0.5,-85.83601,32.81006
897,Alabama,Tallapoosa,2020,5.1,2.3,-85.92393,32.86879
898,Florida,Taylor,2020,0,0,-83.63448786,30.1603044
900,Delaware,Sussex,2020,0,0.1,-75.64702,38.5610016
901,Delaware,Sussex,2020,0,0.1,-75.4738705,38.51773
902,Delaware,Sussex,2020,0.7,7.5,-75.281709,38.51485
903,Delaware,Sussex,2020,0,0.5,-75.4139602,38.73987
904,Delaware,Sussex,2020,0,0.9,-75.1032871,38.77764
905,Florida,Lake,2020,0,0.2,-81.542725,28.99211389
906,Florida,Okaloosa,2020,0,1.2,-86.598492,30.988467
907,Florida,Okaloosa,2020,0,0,-86.699394,30.8914
908,Texas,Newton,2020,0,0.1,-93.8421,30.6431
909,Texas,Newton,2020,0,0.3,-93.85681,30.89368
910,Texas,Newton,2020,0,1,-93.8253465,30.63284252
911,Texas,Nacogdoches,2020,0,0.2,-94.63435,31.6218
912,Texas,Nacogdoches,2020,0,0.1,-94.59233,31.77126
913,Texas,Nacogdoches,2020,0,0.5,-94.78519,31.55243
914,Mississippi,Tishomingo,2020,2,6.2,-88.31334,34.53325
915,Mississippi,Tishomingo,2020,6.1,5,-88.30369,34.73085
916,Mississippi,Tishomingo,2020,0.8,2.9,-88.3121,34.75615
917,Mississippi,Perry,2020,0.1,0.8,-89.00676,31.39991
918,Mississippi,Perry,2020,4.7,3.6,-89.09487,31.2284
919,Mississippi,Perry,2020,0.7,1.2,-88.99774,31.22144
920,Mississippi,Lafayette,2020,2.5,2.5,-89.28161,34.36723
921,Mississippi,Lafayette,2020,0.5,1.2,-89.32686,34.39023
922,Mississippi,Lafayette,2020,0.1,1.1,-89.45287,34.38593
923,Mississippi,Kemper,2020,0.1,1.2,-88.8671,32.8944
924,Mississippi,Kemper,2020,0.1,3.6,-88.7749,32.8876
925,Mississippi,Kemper,2020,0.6,1.2,-88.8779,32.63055
926,Mississippi,Copiah,2020,6.4,5.9,-90.71008,32.01856
927,Mississippi,Copiah,2020,5.5,3.2,-90.60973,31.82981
928,Mississippi,Copiah,2020,19.8,6.2,-90.71593,31.74217
929,Mississippi,Choctaw,2020,0.1,1.5,-89.28817,33.15478
930,Mississippi,Choctaw,2020,0.1,1.2,-89.26664,33.15152
931,Mississippi,Choctaw,2020,0.2,2.5,-89.27905,33.16893
932,Mississippi,Chickasaw,2020,0.3,3.6,-88.8873,34.0352
933,Mississippi,Chickasaw,2020,0.1,4.5,-88.9895,34.0191
934,Mississippi,Chickasaw,2020,0.1,5.6,-88.9222,33.9857
935,Mississippi,Carroll,2020,0,1.3,-89.87414,33.50312
936,Mississippi,Carroll,2020,0,1.3,-89.99129,33.51637
937,Mississippi,Carroll,2020,0,2.3,-89.88441,33.43071
938,Mississippi,Amite,2020,0.6,1.8,-90.71181,31.22104
939,Mississippi,Amite,2020,3.7,1,-90.80294,31.31846
940,Mississippi,Amite,2020,0.4,0.5,-90.70394,31.31654
941,Mississippi,Scott,2020,0.8,4.8,-89.48345,32.2702
942,Mississippi,Scott,2020,4.5,17.9,-89.57706,32.28031
943,Mississippi,Scott,2020,0,0,-89.58706,32.37369
944,Mississippi,Marion,2020,0,0.3,-89.80326,31.27915
945,Mississippi,Marion,2020,0,0.1,-89.89919,31.22414
946,Mississippi,Marion,2020,0.1,0.3,-89.98221,31.25812
947,Mississippi,Jasper,2020,0.5,1.6,-89.08212,31.92879
948,Mississippi,Jasper,2020,1,5,-89.2858,32.01924
949,Mississippi,Jasper,2020,0.8,1.2,-89.28164,32.18631
950,Texas,SanAugustine,2020,0,2.5,-94.2316,31.2547
951,Texas,SanAugustine,2020,0,1.5,-94.2622,31.3586
953,Texas,Angelina,2020,0,0.8,-94.44707,31.231943
954,Florida,Gulf,2020,0,0,-85.23097167,29.99823582
956,Alabama,Autauga,2020,1.1,1.1,-82.69630003,37.17674309
957,North Carolina,Jones,2020,0.4,0.7,-76.9825,35.2365
958,North Carolina,Jones,2020,0,5.4,-77.46683333,35.07566667
959,North Carolina,Craven,2020,0,1.2,-77.13466667,35.309
960,North Carolina,Orange,2020,0,2.7,-79.06305,36.03368333
961,North Carolina,Orange,2020,0,0.6,-79.0216,35.9838
962,North Carolina,Orange,2020,0,1.9,-79.09575,35.97125
963,Florida,Bay,2020,0,0,-85.652618,30.31483
964,Florida,Gulf,2020,0,0,-85.20874,29.901203
965,Virginia,Chesterfield,2020,3.1,6.1,-77.59681566,37.38836505
966,Virginia,Chesterfield,2020,2.8,3.1,-77.53420913,37.37749005
967,Virginia,Chesterfield,2020,2.7,11,-77.5636097,37.33362712
968,Virginia,Halifax,2020,0,0.7,-78.71230492,36.72528115
969,Virginia,Lunenburg,2020,0,5.6,-78.354122,36.92063
970,Virginia,Lunenburg,2020,0,2.4,-78.29927,36.91021
971,Virginia,Halifax,2020,0,1.3,-79.150556,36.59472
972,Virginia,Halifax,2020,0,0.9,-78.766417,36.90122
973,Florida,Putnam,2020,4.2,0.2,-81.8003394,29.80145321
974,Virginia,Accomack,2020,0,0,-75.33280228,37.90852808
975,Georgia,Long,2020,0.1,0.1,-81.60905281,31.60484321
976,Florida,Calhoun,2020,0,0,-85.11685428,30.4818548
977,Louisiana,Washington,2020,0,0,-90.0032,30.8622
978,Louisiana,Jackson,2020,0,1.2,-92.45607,32.30353
979,Louisiana,RedRiver,2020,0,1.7,-93.20841,32.03225
980,Louisiana,Lincoln,2020,0,0.5,-92.4747,32.643
981,North Carolina,Nash,2020,0,10.7,-77.95753333,36.12478333
